species	strain	sex	food_substrate	%_PER
D. melanogaster	Canton-S	female	200mM_sucrose	0.33333333333333326
D. melanogaster	Canton-S	female	200mM_sucrose	0
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	0
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	0.6666666666666665
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	0
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	0.6666666666666665
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	0
D. melanogaster	Canton-S	female	200mM_sucrose	0
D. melanogaster	Canton-S	female	200mM_sucrose	0.6666666666666665
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	200mM_sucrose	1
D. melanogaster	Canton-S	female	grape_juice	0.33333333333333326
D. melanogaster	Canton-S	female	grape_juice	0
D. melanogaster	Canton-S	female	grape_juice	0.33333333333333326
D. melanogaster	Canton-S	female	grape_juice	0
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	0.6666666666666665
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	0.33333333333333326
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	0.6666666666666665
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	0
D. melanogaster	Canton-S	female	grape_juice	0.33333333333333326
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	grape_juice	1
D. melanogaster	Canton-S	female	noni_juice	0.33333333333333326
D. melanogaster	Canton-S	female	noni_juice	0.6666666666666665
D. melanogaster	Canton-S	female	noni_juice	0.6666666666666665
D. melanogaster	Canton-S	female	noni_juice	0.33333333333333326
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0.6666666666666665
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	0.6666666666666665
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0.33333333333333326
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	0.33333333333333326
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0.6666666666666665
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	1
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0.33333333333333326
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	1
D. sechellia	07	female	200mM_sucrose	0.33333333333333326
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0.33333333333333326
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	1
D. sechellia	07	female	200mM_sucrose	0.33333333333333326
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	0.6666666666666665
D. sechellia	07	female	200mM_sucrose	0.33333333333333326
D. sechellia	07	female	200mM_sucrose	0.33333333333333326
D. sechellia	07	female	200mM_sucrose	0.33333333333333326
D. sechellia	07	female	grape_juice	1
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	1
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	0.6666666666666665
D. sechellia	07	female	grape_juice	0.6666666666666665
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	0.6666666666666665
D. sechellia	07	female	grape_juice	1
D. sechellia	07	female	grape_juice	0.6666666666666665
D. sechellia	07	female	grape_juice	1
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	0.6666666666666665
D. sechellia	07	female	grape_juice	0.6666666666666665
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	0.6666666666666665
D. sechellia	07	female	grape_juice	1
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	1
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	0.33333333333333326
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	0.6666666666666665
D. sechellia	07	female	noni_juice	0.6666666666666665
D. sechellia	07	female	noni_juice	0.6666666666666665
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	0.6666666666666665
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	0.6666666666666665
D. sechellia	07	female	noni_juice	0.6666666666666665
D. sechellia	07	female	noni_juice	0.6666666666666665
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	0.33333333333333326
D. sechellia	07	female	noni_juice	0.33333333333333326
D. sechellia	07	female	noni_juice	0
D. sechellia	07	female	noni_juice	0.6666666666666665
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	1
D. sechellia	07	female	noni_juice	0.6666666666666665
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	0
D. simulans	04	female	200mM_sucrose	0.6666666666666665
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	0.6666666666666665
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	0.6666666666666665
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	0
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	200mM_sucrose	0
D. simulans	04	female	200mM_sucrose	0.33333333333333326
D. simulans	04	female	200mM_sucrose	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	0.33333333333333326
D. simulans	04	female	grape_juice	0.6666666666666665
D. simulans	04	female	grape_juice	0
D. simulans	04	female	grape_juice	0
D. simulans	04	female	grape_juice	0.33333333333333326
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	0.6666666666666665
D. simulans	04	female	grape_juice	1
D. simulans	04	female	grape_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	0
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	0.6666666666666665
D. simulans	04	female	noni_juice	1
D. simulans	04	female	noni_juice	0.6666666666666665
